kode_kabupaten_kota,kode_provinsi,nama_kabupaten_kota,nama_provinsi,jumlah_balita_stunting,satuan,tahun
3201,32,KABUPATEN BOGOR,JAWA BARAT,18752,ORANG,2019
3202,32,KABUPATEN SUKABUMI,JAWA BARAT,15583,ORANG,2019
3203,32,KABUPATEN CIANJUR,JAWA BARAT,12761,ORANG,2019
3204,32,KABUPATEN BANDUNG,JAWA BARAT,19121,ORANG,2019
3205,32,KABUPATEN GARUT,JAWA BARAT,9723,ORANG,2019
3206,32,KABUPATEN TASIKMALAYA,JAWA BARAT,17254,ORANG,2019
3207,32,KABUPATEN CIAMIS,JAWA BARAT,4254,ORANG,2019
3208,32,KABUPATEN KUNINGAN,JAWA BARAT,5553,ORANG,2019
3209,32,KABUPATEN CIREBON,JAWA BARAT,14127,ORANG,2019
3210,32,KABUPATEN MAJALENGKA,JAWA BARAT,4642,ORANG,2019
3211,32,KABUPATEN SUMEDANG,JAWA BARAT,6780,ORANG,2019
3212,32,KABUPATEN INDRAMAYU,JAWA BARAT,19458,ORANG,2019
3213,32,KABUPATEN SUBANG,JAWA BARAT,2476,ORANG,2019
3214,32,KABUPATEN PURWAKARTA,JAWA BARAT,3451,ORANG,2019
3215,32,KABUPATEN KARAWANG,JAWA BARAT,4940,ORANG,2019
3216,32,KABUPATEN BEKASI,JAWA BARAT,7436,ORANG,2019
3217,32,KABUPATEN BANDUNG BARAT,JAWA BARAT,9322,ORANG,2019
3218,32,KABUPATEN PANGANDARAN,JAWA BARAT,7863,ORANG,2019
3271,32,KOTA BOGOR,JAWA BARAT,3757,ORANG,2019
3272,32,KOTA SUKABUMI,JAWA BARAT,2069,ORANG,2019
3273,32,KOTA BANDUNG,JAWA BARAT,8121,ORANG,2019
3274,32,KOTA CIREBON,JAWA BARAT,2411,ORANG,2019
3275,32,KOTA BEKASI,JAWA BARAT,11737,ORANG,2019
3276,32,KOTA DEPOK,JAWA BARAT,5241,ORANG,2019
3277,32,KOTA CIMAHI,JAWA BARAT,3269,ORANG,2019
3278,32,KOTA TASIKMALAYA,JAWA BARAT,5373,ORANG,2019
3279,32,KOTA BANJAR,JAWA BARAT,962,ORANG,2019
3201,32,KABUPATEN BOGOR,JAWA BARAT,34020,ORANG,2020
3202,32,KABUPATEN SUKABUMI,JAWA BARAT,14106,ORANG,2020
3203,32,KABUPATEN CIANJUR,JAWA BARAT,11680,ORANG,2020
3204,32,KABUPATEN BANDUNG,JAWA BARAT,29581,ORANG,2020
3205,32,KABUPATEN GARUT,JAWA BARAT,13523,ORANG,2020
3206,32,KABUPATEN TASIKMALAYA,JAWA BARAT,18952,ORANG,2020
3207,32,KABUPATEN CIAMIS,JAWA BARAT,7688,ORANG,2020
3208,32,KABUPATEN KUNINGAN,JAWA BARAT,5298,ORANG,2020
3209,32,KABUPATEN CIREBON,JAWA BARAT,21733,ORANG,2020
3210,32,KABUPATEN MAJALENGKA,JAWA BARAT,4381,ORANG,2020
3211,32,KABUPATEN SUMEDANG,JAWA BARAT,8870,ORANG,2020
3212,32,KABUPATEN INDRAMAYU,JAWA BARAT,11166,ORANG,2020
3213,32,KABUPATEN SUBANG,JAWA BARAT,4283,ORANG,2020
3214,32,KABUPATEN PURWAKARTA,JAWA BARAT,8051,ORANG,2020
3215,32,KABUPATEN KARAWANG,JAWA BARAT,3982,ORANG,2020
3216,32,KABUPATEN BEKASI,JAWA BARAT,9373,ORANG,2020
3217,32,KABUPATEN BANDUNG BARAT,JAWA BARAT,15440,ORANG,2020
3218,32,KABUPATEN PANGANDARAN,JAWA BARAT,1312,ORANG,2020
3271,32,KOTA BOGOR,JAWA BARAT,5948,ORANG,2020
3272,32,KOTA SUKABUMI,JAWA BARAT,1616,ORANG,2020
3273,32,KOTA BANDUNG,JAWA BARAT,9508,ORANG,2020
3274,32,KOTA CIREBON,JAWA BARAT,2360,ORANG,2020
3275,32,KOTA BEKASI,JAWA BARAT,13964,ORANG,2020
3276,32,KOTA DEPOK,JAWA BARAT,6425,ORANG,2020
3277,32,KOTA CIMAHI,JAWA BARAT,3708,ORANG,2020
3278,32,KOTA TASIKMALAYA,JAWA BARAT,7746,ORANG,2020
3279,32,KOTA BANJAR,JAWA BARAT,1355,ORANG,2020
3201,32,KABUPATEN BOGOR,JAWA BARAT,30844,ORANG,2021
3202,32,KABUPATEN SUKABUMI,JAWA BARAT,14347,ORANG,2021
3203,32,KABUPATEN CIANJUR,JAWA BARAT,7768,ORANG,2021
3204,32,KABUPATEN BANDUNG,JAWA BARAT,20461,ORANG,2021
3205,32,KABUPATEN GARUT,JAWA BARAT,10027,ORANG,2021
3206,32,KABUPATEN TASIKMALAYA,JAWA BARAT,15183,ORANG,2021
3207,32,KABUPATEN CIAMIS,JAWA BARAT,3303,ORANG,2021
3208,32,KABUPATEN KUNINGAN,JAWA BARAT,3665,ORANG,2021
3209,32,KABUPATEN CIREBON,JAWA BARAT,15220,ORANG,2021
3210,32,KABUPATEN MAJALENGKA,JAWA BARAT,2934,ORANG,2021
3211,32,KABUPATEN SUMEDANG,JAWA BARAT,8117,ORANG,2021
3212,32,KABUPATEN INDRAMAYU,JAWA BARAT,5208,ORANG,2021
3213,32,KABUPATEN SUBANG,JAWA BARAT,2088,ORANG,2021
3214,32,KABUPATEN PURWAKARTA,JAWA BARAT,3709,ORANG,2021
3215,32,KABUPATEN KARAWANG,JAWA BARAT,3715,ORANG,2021
3216,32,KABUPATEN BEKASI,JAWA BARAT,8755,ORANG,2021
3217,32,KABUPATEN BANDUNG BARAT,JAWA BARAT,12488,ORANG,2021
3218,32,KABUPATEN PANGANDARAN,JAWA BARAT,999,ORANG,2021
3271,32,KOTA BOGOR,JAWA BARAT,3950,ORANG,2021
3272,32,KOTA SUKABUMI,JAWA BARAT,1180,ORANG,2021
3273,32,KOTA BANDUNG,JAWA BARAT,6312,ORANG,2021
3274,32,KOTA CIREBON,JAWA BARAT,2411,ORANG,2021
3275,32,KOTA BEKASI,JAWA BARAT,9820,ORANG,2021
3276,32,KOTA DEPOK,JAWA BARAT,3726,ORANG,2021
3277,32,KOTA CIMAHI,JAWA BARAT,3161,ORANG,2021
3278,32,KOTA TASIKMALAYA,JAWA BARAT,6194,ORANG,2021
3279,32,KOTA BANJAR,JAWA BARAT,929,ORANG,2021
3201,32,KABUPATEN BOGOR,JAWA BARAT,18666,ORANG,2022
3202,32,KABUPATEN SUKABUMI,JAWA BARAT,10231,ORANG,2022
3203,32,KABUPATEN CIANJUR,JAWA BARAT,6871,ORANG,2022
3204,32,KABUPATEN BANDUNG,JAWA BARAT,21018,ORANG,2022
3205,32,KABUPATEN GARUT,JAWA BARAT,30266,ORANG,2022
3206,32,KABUPATEN TASIKMALAYA,JAWA BARAT,14122,ORANG,2022
3207,32,KABUPATEN CIAMIS,JAWA BARAT,1872,ORANG,2022
3208,32,KABUPATEN KUNINGAN,JAWA BARAT,4798,ORANG,2022
3209,32,KABUPATEN CIREBON,JAWA BARAT,10635,ORANG,2022
3210,32,KABUPATEN MAJALENGKA,JAWA BARAT,3063,ORANG,2022
3211,32,KABUPATEN SUMEDANG,JAWA BARAT,6316,ORANG,2022
3212,32,KABUPATEN INDRAMAYU,JAWA BARAT,3797,ORANG,2022
3213,32,KABUPATEN SUBANG,JAWA BARAT,1188,ORANG,2022
3214,32,KABUPATEN PURWAKARTA,JAWA BARAT,1438,ORANG,2022
3215,32,KABUPATEN KARAWANG,JAWA BARAT,2768,ORANG,2022
3216,32,KABUPATEN BEKASI,JAWA BARAT,3899,ORANG,2022
3217,32,KABUPATEN BANDUNG BARAT,JAWA BARAT,9304,ORANG,2022
3218,32,KABUPATEN PANGANDARAN,JAWA BARAT,519,ORANG,2022
3271,32,KOTA BOGOR,JAWA BARAT,1743,ORANG,2022
3272,32,KOTA SUKABUMI,JAWA BARAT,806,ORANG,2022
3273,32,KOTA BANDUNG,JAWA BARAT,6614,ORANG,2022
3274,32,KOTA CIREBON,JAWA BARAT,2381,ORANG,2022
3275,32,KOTA BEKASI,JAWA BARAT,4575,ORANG,2022
3276,32,KOTA DEPOK,JAWA BARAT,3637,ORANG,2022
3277,32,KOTA CIMAHI,JAWA BARAT,3036,ORANG,2022
3278,32,KOTA TASIKMALAYA,JAWA BARAT,5633,ORANG,2022
3279,32,KOTA BANJAR,JAWA BARAT,846,ORANG,2022
